Device ID,Timestamp,Temperature (°C),Current (A),Pressure (hPa)
sensor_28,2025-09-26T09:14:04.302Z,31.14,4.84,2.13
sensor_13,2025-09-26T09:14:04.347Z,28.21,5.62,2.03
sensor_7,2025-09-26T09:14:04.348Z,28.04,4.74,1.84
sensor_17,2025-09-26T09:14:04.350Z,31.55,5.48,2.12
sensor_25,2025-09-26T09:14:04.503Z,31.87,5.92,1.92
sensor_18,2025-09-26T09:14:04.519Z,31.47,5.92,1.89
sensor_10,2025-09-26T09:14:04.520Z,29.02,5.43,2.13
sensor_26,2025-09-26T09:14:04.550Z,29.4,5.68,2.13
sensor_1,2025-09-26T09:14:04.551Z,29.64,5.39,1.91
sensor_5,2025-09-26T09:14:04.580Z,28.81,5.37,1.89
sensor_15,2025-09-26T09:14:04.626Z,29.61,5.52,2.01
sensor_32,2025-09-26T09:14:04.687Z,30.3,4.9,2.12
sensor_27,2025-09-26T09:14:04.691Z,28.24,4.79,1.92
sensor_29,2025-09-26T09:14:04.692Z,28.98,5.67,2.12
sensor_35,2025-09-26T09:14:04.717Z,30.56,5.46,1.91
sensor_2,2025-09-26T09:14:04.732Z,30.86,4.32,2.13
sensor_11,2025-09-26T09:14:04.748Z,29.03,5.85,1.84
sensor_14,2025-09-26T09:14:04.763Z,28.56,4.55,2.06
sensor_20,2025-09-26T09:14:04.769Z,30.99,4.51,1.95
sensor_33,2025-09-26T09:14:04.825Z,31.22,4.55,2.02
sensor_43,2025-09-26T09:14:04.872Z,29.19,5.15,2.11
sensor_21,2025-09-26T09:14:04.873Z,28.76,4.21,1.93
sensor_39,2025-09-26T09:14:04.874Z,30.77,4.85,1.82
sensor_22,2025-09-26T09:14:04.963Z,31.95,5.12,2.08
sensor_19,2025-09-26T09:14:04.995Z,28.33,4.93,1.94
sensor_42,2025-09-26T09:14:05.000Z,31.55,4.83,1.95
sensor_9,2025-09-26T09:14:05.004Z,29.21,5.34,2.12
sensor_38,2025-09-26T09:14:05.025Z,30.01,4.32,1.89
sensor_34,2025-09-26T09:14:05.056Z,28.94,4.23,1.97
sensor_41,2025-09-26T09:14:05.071Z,31.61,4.8,2.07
sensor_47,2025-09-26T09:14:05.072Z,30.41,4.11,2.11
sensor_48,2025-09-26T09:14:05.117Z,28.92,4.37,1.95
sensor_31,2025-09-26T09:14:05.239Z,31.54,5.75,2.11
sensor_46,2025-09-26T09:14:05.240Z,29.17,5.22,1.9
sensor_18,2025-09-26T09:14:05.241Z,29.26,5.3,2.04
sensor_40,2025-09-26T09:14:05.254Z,30.01,4.84,1.81
sensor_44,2025-09-26T09:14:05.270Z,29.72,4.35,2.08
sensor_49,2025-09-26T09:14:05.286Z,31.47,5.6,1.83
sensor_3,2025-09-26T09:14:05.288Z,29.49,5.58,1.85
sensor_30,2025-09-26T09:14:05.301Z,29.35,4.08,1.81
sensor_15,2025-09-26T09:14:05.363Z,30.88,5.82,2.12
sensor_1,2025-09-26T09:14:05.440Z,31.04,5.56,1.92
sensor_45,2025-09-26T09:14:05.471Z,29.14,5.87,2.11
sensor_37,2025-09-26T09:14:05.502Z,29.64,4.09,1.99
sensor_33,2025-09-26T09:14:05.533Z,31.98,4.54,2.2
sensor_36,2025-09-26T09:14:05.564Z,30.54,5.12,1.96
sensor_50,2025-09-26T09:14:05.595Z,31.81,5.27,2.09
sensor_9,2025-09-26T09:14:05.657Z,28.06,4.18,1.95
sensor_14,2025-09-26T09:14:05.659Z,31.22,4.82,1.98
sensor_21,2025-09-26T09:14:05.662Z,28.9,5.17,1.94
sensor_5,2025-09-26T09:14:05.673Z,29.94,5.84,2.12
sensor_8,2025-09-26T09:14:05.678Z,30.93,4.65,1.87
sensor_24,2025-09-26T09:14:05.749Z,29.56,4.62,1.84
sensor_4,2025-09-26T09:14:05.775Z,30.76,5.93,2.16
sensor_34,2025-09-26T09:14:05.804Z,30.82,5.45,1.96
sensor_12,2025-09-26T09:14:05.805Z,29.42,4.3,1.93
sensor_16,2025-09-26T09:14:05.843Z,30.36,5.04,1.82
sensor_26,2025-09-26T09:14:05.844Z,30.55,5.16,1.91
sensor_39,2025-09-26T09:14:05.847Z,28.03,5.15,1.83
sensor_23,2025-09-26T09:14:05.950Z,31.53,4.75,1.94
sensor_29,2025-09-26T09:14:05.997Z,29.22,5.65,2.13
sensor_40,2025-09-26T09:14:06.058Z,29.86,5.22,2.2
sensor_49,2025-09-26T09:14:06.088Z,29.61,4.08,1.87
sensor_28,2025-09-26T09:14:06.092Z,31.5,4.28,2.03
sensor_30,2025-09-26T09:14:06.150Z,31.93,5.33,1.86
sensor_6,2025-09-26T09:14:06.258Z,29.99,5.72,1.92
sensor_25,2025-09-26T09:14:06.259Z,28.59,4.2,2.01
sensor_13,2025-09-26T09:14:06.336Z,28.2,4.67,2
sensor_2,2025-09-26T09:14:06.382Z,30.95,4.5,2.14
sensor_43,2025-09-26T09:14:06.383Z,31.65,4.05,2.06
sensor_27,2025-09-26T09:14:06.460Z,28.62,4.95,2.16
sensor_41,2025-09-26T09:14:06.492Z,28.49,5.75,1.82
sensor_10,2025-09-26T09:14:06.493Z,29.2,5.11,2.16
sensor_11,2025-09-26T09:14:06.495Z,28.54,5.13,2.17
sensor_38,2025-09-26T09:14:06.553Z,28.48,4.82,1.9
sensor_16,2025-09-26T09:14:06.558Z,28.77,5.63,2.15
sensor_36,2025-09-26T09:14:06.584Z,30.95,5.98,2.06
sensor_42,2025-09-26T09:14:06.600Z,29.35,5.43,2.14
sensor_48,2025-09-26T09:14:06.646Z,28.74,4.29,2.17
sensor_47,2025-09-26T09:14:06.752Z,31.14,4.03,1.82
sensor_31,2025-09-26T09:14:06.845Z,28.51,5.8,1.88
sensor_46,2025-09-26T09:14:06.907Z,31.95,4.05,1.81
sensor_3,2025-09-26T09:14:06.938Z,30.46,5.06,1.87
sensor_4,2025-09-26T09:14:07.217Z,31.01,5.9,2.19
sensor_12,2025-09-26T09:14:07.357Z,29.89,4.07,1.96
sensor_37,2025-09-26T09:14:07.463Z,28.91,4.81,2.14
sensor_8,2025-09-26T09:14:07.525Z,28.92,4.07,1.95
sensor_14,2025-09-26T09:14:18.940Z,28.21,4.75,2.02
sensor_8,2025-09-26T09:14:18.933Z,31.25,4.54,2.03
sensor_2,2025-09-26T09:14:18.964Z,31.74,5.52,2.11
sensor_1,2025-09-26T09:14:18.994Z,30.1,4.1,1.86
sensor_32,2025-09-26T09:14:19.102Z,31.59,4.71,1.95
sensor_38,2025-09-26T09:14:19.104Z,30.34,4.78,1.83
sensor_21,2025-09-26T09:14:19.118Z,30.09,4.94,1.97
sensor_50,2025-09-26T09:14:19.179Z,29.2,5.91,1.86
sensor_48,2025-09-26T09:14:19.274Z,30.9,4.84,1.89
sensor_37,2025-09-26T09:14:19.320Z,29.21,4.51,2.1
sensor_4,2025-09-26T09:14:19.352Z,28.61,4.53,1.96
sensor_39,2025-09-26T09:14:19.353Z,28.74,5.43,1.82
sensor_43,2025-09-26T09:14:19.357Z,28.93,4.98,1.97
sensor_19,2025-09-26T09:14:19.414Z,29.82,4.68,2.01
sensor_25,2025-09-26T09:14:19.415Z,31.89,5.27,1.91
sensor_16,2025-09-26T09:14:19.417Z,31.37,5.92,2
sensor_18,2025-09-26T09:14:19.429Z,28.44,4.27,1.95
sensor_49,2025-09-26T09:14:19.444Z,29.21,5.49,2.17
sensor_23,2025-09-26T09:14:19.449Z,31.6,4.29,2.18
sensor_17,2025-09-26T09:14:19.452Z,29.08,5.27,1.87
sensor_13,2025-09-26T09:14:19.506Z,28.96,4.47,1.83
sensor_7,2025-09-26T09:14:19.584Z,28.98,4.4,1.9
sensor_47,2025-09-26T09:14:19.585Z,31.45,5.62,2.15
sensor_10,2025-09-26T09:14:19.600Z,30.42,4.76,1.96
sensor_5,2025-09-26T09:14:19.646Z,30.78,5.61,1.82
sensor_20,2025-09-26T09:14:19.650Z,29.91,4.79,1.82
sensor_44,2025-09-26T09:14:19.666Z,29.3,4.12,1.84
sensor_42,2025-09-26T09:14:19.723Z,29.02,5.08,1.88
sensor_22,2025-09-26T09:14:19.752Z,30.37,4.59,1.92
sensor_15,2025-09-26T09:14:19.754Z,29.8,4.18,2.1
sensor_12,2025-09-26T09:14:19.777Z,29.34,5.54,1.84
sensor_6,2025-09-26T09:14:19.779Z,30.39,5.61,2.02
sensor_33,2025-09-26T09:14:19.785Z,31.39,4.85,2.11
sensor_9,2025-09-26T09:14:19.788Z,31.81,5.66,1.89
sensor_45,2025-09-26T09:14:19.798Z,29.19,5.52,2.11
sensor_28,2025-09-26T09:14:19.805Z,31.52,5.38,2.16
sensor_34,2025-09-26T09:14:19.879Z,29.09,4.17,1.99
sensor_48,2025-09-26T09:14:19.880Z,30.17,5.11,2.15
sensor_26,2025-09-26T09:14:20.004Z,28.18,5.99,2.19
sensor_40,2025-09-26T09:14:20.005Z,29.64,5.19,1.95
sensor_11,2025-09-26T09:14:20.020Z,31.85,4.13,2.19
sensor_46,2025-09-26T09:14:20.035Z,28.75,5.01,1.91
sensor_13,2025-09-26T09:14:20.036Z,28.22,5.28,1.86
sensor_31,2025-09-26T09:14:20.039Z,29.84,4.49,1.99
sensor_16,2025-09-26T09:14:20.128Z,28.94,5.38,1.99
sensor_47,2025-09-26T09:14:20.130Z,30.38,4.14,1.96
sensor_35,2025-09-26T09:14:20.131Z,30.39,5.36,2.07
sensor_3,2025-09-26T09:14:20.159Z,29.55,5.56,2.12
sensor_41,2025-09-26T09:14:20.161Z,30.44,5.52,1.9
sensor_43,2025-09-26T09:14:20.167Z,30.66,4.34,2.03
sensor_20,2025-09-26T09:14:20.189Z,31.15,5.88,2.02
sensor_27,2025-09-26T09:14:20.221Z,29.47,5.28,1.97
sensor_30,2025-09-26T09:14:20.222Z,31.43,5.03,1.84
sensor_36,2025-09-26T09:14:20.283Z,31.32,4.78,2.09
sensor_2,2025-09-26T09:14:20.286Z,31.89,4.75,1.82
sensor_50,2025-09-26T09:14:20.289Z,28.27,4.33,1.95
sensor_24,2025-09-26T09:14:20.329Z,31.37,5.22,2.03
sensor_29,2025-09-26T09:14:20.376Z,28.81,4.86,2.07
sensor_18,2025-09-26T09:14:20.380Z,31.4,4.3,2.06
sensor_4,2025-09-26T09:14:20.385Z,28.92,5.75,1.94
sensor_8,2025-09-26T09:14:20.437Z,30.1,4.35,2.02
sensor_7,2025-09-26T09:14:20.484Z,29.39,4.27,1.91
sensor_1,2025-09-26T09:14:20.515Z,29.29,4.4,1.86
sensor_37,2025-09-26T09:14:20.561Z,29.85,4.41,1.98
sensor_31,2025-09-26T09:14:20.562Z,30.08,5.9,1.99
sensor_38,2025-09-26T09:14:20.591Z,29.49,5.53,2.12
sensor_25,2025-09-26T09:14:20.596Z,28.33,4.52,1.96
sensor_47,2025-09-26T09:14:20.638Z,29.27,5.28,2.1
sensor_44,2025-09-26T09:14:20.642Z,28.83,5.02,2.19
sensor_20,2025-09-26T09:14:20.701Z,30.34,4.7,1.95
sensor_21,2025-09-26T09:14:20.702Z,28.39,5.56,2.1
sensor_10,2025-09-26T09:14:20.704Z,31.74,4.9,2.01
sensor_3,2025-09-26T09:14:20.706Z,29.99,4.05,2.16
sensor_14,2025-09-26T09:14:20.708Z,31.37,4.82,2.04
sensor_9,2025-09-26T09:14:20.763Z,30.27,4.6,2.12
sensor_33,2025-09-26T09:14:20.764Z,29.04,4.59,2.06
sensor_22,2025-09-26T09:14:20.765Z,28.81,5.63,1.9
sensor_17,2025-09-26T09:14:20.809Z,30.88,5.13,2
sensor_13,2025-09-26T09:14:20.814Z,30.85,5.35,2.04
sensor_42,2025-09-26T09:14:20.856Z,30.63,5.72,2.04
sensor_39,2025-09-26T09:14:20.902Z,30.32,5.27,1.95
sensor_45,2025-09-26T09:14:20.917Z,31.76,4.73,1.87
sensor_40,2025-09-26T09:14:20.965Z,30.59,4.04,2.14
sensor_35,2025-09-26T09:14:20.967Z,31.81,4.22,1.83
sensor_32,2025-09-26T09:14:21.041Z,28.76,5.4,2
sensor_15,2025-09-26T09:14:21.057Z,31.2,5.35,1.86
sensor_26,2025-09-26T09:14:21.104Z,29.47,4.62,2.11
sensor_29,2025-09-26T09:14:21.196Z,28.86,4.68,1.93
sensor_19,2025-09-26T09:14:21.198Z,29.42,5.09,2.02
sensor_4,2025-09-26T09:14:21.290Z,28.59,4.64,2.12
sensor_23,2025-09-26T09:14:21.382Z,31.86,4.15,2.16
sensor_49,2025-09-26T09:14:21.428Z,31.98,5.09,2.04
sensor_48,2025-09-26T09:14:21.444Z,30.56,5.06,2.18
sensor_28,2025-09-26T09:14:21.460Z,31.4,4.83,1.97
sensor_5,2025-09-26T09:14:21.523Z,28.73,4.13,2.09
sensor_27,2025-09-26T09:14:21.569Z,29.97,5.43,2.17
sensor_18,2025-09-26T09:14:21.584Z,31.77,5.5,1.92
sensor_41,2025-09-26T09:14:21.615Z,30.71,5.48,1.92
sensor_8,2025-09-26T09:14:21.616Z,28.12,5.42,1.92
sensor_46,2025-09-26T09:14:21.630Z,28.83,4.15,1.98
sensor_6,2025-09-26T09:14:21.636Z,28.15,5.78,2.04
sensor_2,2025-09-26T09:14:21.662Z,31.72,4.19,1.85
sensor_12,2025-09-26T09:14:21.707Z,28.41,4.59,2.18
sensor_50,2025-09-26T09:14:21.723Z,29.95,4.97,1.91
sensor_34,2025-09-26T09:14:21.755Z,29.09,4.49,2.07
sensor_11,2025-09-26T09:14:21.760Z,28.97,4.81,2.11
sensor_30,2025-09-26T09:14:21.786Z,28.55,5.36,1.84
sensor_37,2025-09-26T09:14:21.801Z,29.95,5.22,1.83
sensor_14,2025-09-26T09:14:21.802Z,30.98,5.8,1.81
sensor_43,2025-09-26T09:14:21.829Z,28.74,4.99,1.86
sensor_24,2025-09-26T09:14:21.853Z,29.19,5.81,2.2
sensor_31,2025-09-26T09:14:21.872Z,29.24,5.94,1.82
sensor_16,2025-09-26T09:14:21.874Z,30.51,5.09,2.11
sensor_22,2025-09-26T09:14:21.878Z,28.98,5.68,1.82
sensor_7,2025-09-26T09:14:21.879Z,31.25,4.15,1.85
sensor_25,2025-09-26T09:14:21.881Z,28.99,5.57,1.96
sensor_1,2025-09-26T09:14:21.943Z,30.36,5.64,2.03
sensor_3,2025-09-26T09:14:21.974Z,29.14,5.87,1.81
sensor_42,2025-09-26T09:14:21.989Z,28.51,5.37,1.96
sensor_10,2025-09-26T09:14:21.993Z,31.44,4.6,1.82
sensor_23,2025-09-26T09:14:22.067Z,28.03,5.15,1.81
sensor_26,2025-09-26T09:14:22.099Z,30.36,5.14,2.15
sensor_35,2025-09-26T09:14:22.101Z,28.58,4.46,2.11
sensor_36,2025-09-26T09:14:22.129Z,29.2,5.95,1.95
sensor_46,2025-09-26T09:14:22.145Z,29.21,5.63,2.03
sensor_40,2025-09-26T09:14:22.205Z,28.37,5.7,2.01
sensor_27,2025-09-26T09:14:22.207Z,28.72,5.02,1.98
sensor_39,2025-09-26T09:14:22.208Z,30.42,5.03,2.16
sensor_9,2025-09-26T09:14:22.237Z,30.95,4.49,1.86
sensor_32,2025-09-26T09:14:22.238Z,30.68,4.53,1.83
sensor_15,2025-09-26T09:14:22.300Z,30.79,4.67,2.2
sensor_38,2025-09-26T09:14:22.378Z,29.25,4.79,1.94
sensor_41,2025-09-26T09:14:22.393Z,31.63,5.1,1.86
sensor_44,2025-09-26T09:14:22.425Z,29.64,5.44,1.82
sensor_33,2025-09-26T09:14:22.426Z,28.34,4.91,1.87
sensor_21,2025-09-26T09:14:22.456Z,29.44,5.57,1.89
sensor_24,2025-09-26T09:14:22.503Z,28.65,4.66,2.09
sensor_28,2025-09-26T09:14:22.507Z,31.63,5.36,2.07
sensor_11,2025-09-26T09:14:22.673Z,30.81,5.21,1.88
sensor_45,2025-09-26T09:14:22.674Z,28.24,5.65,1.9
sensor_17,2025-09-26T09:14:22.752Z,28.68,4.4,2
sensor_30,2025-09-26T09:14:22.753Z,29.28,4.08,2.04
sensor_19,2025-09-26T09:14:22.938Z,30.11,5.22,2.16
sensor_5,2025-09-26T09:14:22.969Z,31.23,4.16,2.05
sensor_6,2025-09-26T09:14:22.972Z,30.57,5.56,2.14
sensor_49,2025-09-26T09:14:23.093Z,31.57,5.41,2.09
sensor_29,2025-09-26T09:14:23.094Z,29.2,5.69,2.11
sensor_12,2025-09-26T09:14:23.376Z,31.4,4.21,2.13
sensor_34,2025-09-26T09:14:23.407Z,28.71,4.1,1.88
sensor_36,2025-09-26T09:14:23.918Z,31.92,5.84,1.93
1,1758878078849,26.95,4.52,936.09
2,1758878079034,43.2,1.11,987.51
1,1758878081862,47.5,2.15,975.64
2,1758878082048,27.83,2.54,957.78
1,1758878084867,22.06,5.89,999.04
2,1758878085053,21.71,2.72,914.31
1,1758878087884,22.91,2.44,901.46
2,1758878088059,34.25,5.45,920.13
1,1758878090889,37.22,3.55,916.67
2,1758878091059,22.34,3.51,964.68
1,1758878093898,42.46,5.39,951.19
2,1758878094070,47.82,1.92,989.49
1,1758878096905,41.25,4.94,951.07
2,1758878097075,38.35,2.4,959.68
1,1758878099921,21.46,3.6,908.72
2,1758878100089,27.03,1.1,938.31
1,1758878102930,40.83,3.44,930.94
2,1758878103102,26.79,4.66,941.59
1,1758878105934,32.13,1.43,911.36
2,1758878106105,33.97,3.46,983.57
1,1758878108948,25.73,3.54,953.91
2,1758878109120,42.33,2.44,915.02
1,1758878111961,26.89,2.48,970.97
2,1758878112135,46.28,5.32,906.12
1,1758878114973,34.86,2.37,981.46
2,1758878115146,20.16,1.8,916.49
1,1758878117976,22.81,4.79,988.39
2,1758878118147,42.61,5.03,982.93
1,1758878120993,45.04,4.91,920.76
2,1758878121162,21.99,5.97,919.53
1,1758878124006,30.56,2.04,930.73
2,1758878124163,35.98,2.15,965.96
1,1758878127021,25.65,3.69,901.02
2,1758878127175,37.96,4.48,952.47
1,1758878130024,40.42,1.44,929.74
2,1758878130182,26.14,1.75,999.59
1,1758878133026,24.99,4.07,969.86
2,1758878133197,36.54,2.27,992.93
1,1758878136038,28.63,3.2,916.12
2,1758878136210,26.13,5.83,949.54
1,1758878139049,48.78,3.43,987.5
2,1758878139219,24,2.26,978.86
1,1758878142061,37.21,2.15,929.84
2,1758878142232,29.16,5.19,938.31
1,1758878145066,38.04,2.62,942.37
2,1758878145237,23.06,5.42,935.3
1,1758878148077,34.34,1.58,955.6
2,1758878148246,41.06,2.7,945.76
1,1758878151081,36.37,1.28,940.12
2,1758878151253,24.17,1.69,930.97
1,1758878154096,27.25,2.43,926.93
2,1758878154267,36.87,4.17,942.68
1,1758878157104,49.47,1.84,997.12
2,1758878157276,39.76,4.65,910.7
