Device ID,System Type,Timestamp,Temperature (°C),Current (A),Pressure (hPa),Alert,Status
device_29,container,2025-09-27T06:27:18.118Z,28.6,5.33,1.89,false,On
device_37,battery_bank,2025-09-27T06:27:18.165Z,31.27,5.78,1.95,false,On
device_26,container,2025-09-27T06:27:18.134Z,29.29,5.44,2.15,false,On
device_34,battery_bank,2025-09-27T06:27:18.196Z,29.16,4.49,2.09,false,On
device_7,pipe,2025-09-27T06:27:18.136Z,30.76,4.59,1.91,true,On
device_21,container,2025-09-27T06:27:18.199Z,31.69,4.74,1.81,false,On
device_35,battery_bank,2025-09-27T06:27:18.202Z,29.58,4.78,2.17,false,On
device_20,container,2025-09-27T06:27:18.210Z,30.77,5.76,1.93,false,On
device_50,battery_bank,2025-09-27T06:27:18.245Z,29.14,4.22,2.13,false,On
device_33,battery_bank,2025-09-27T06:27:18.241Z,31.06,4.39,2.15,false,On
device_48,battery_bank,2025-09-27T06:27:18.303Z,28.51,5.02,1.85,false,On
device_14,container,2025-09-27T06:27:18.382Z,30.57,5.22,1.83,false,On
device_39,battery_bank,2025-09-27T06:27:18.413Z,28.32,5.67,2,false,On
device_23,container,2025-09-27T06:27:18.445Z,31.98,5.61,2.05,false,On
device_25,container,2025-09-27T06:27:18.475Z,29.76,5.45,1.93,false,On
device_42,battery_bank,2025-09-27T06:27:18.490Z,29.3,5.11,2.12,false,On
device_47,battery_bank,2025-09-27T06:27:18.492Z,28.5,4.87,2.1,false,On
device_1,pipe,2025-09-27T06:27:18.503Z,31.29,5.34,1.84,true,On
device_2,pipe,2025-09-27T06:27:18.582Z,28.21,4.33,2.07,true,On
device_49,battery_bank,2025-09-27T06:27:18.587Z,31.23,4.49,2.01,false,On
device_12,container,2025-09-27T06:27:18.594Z,29.99,5.69,2,false,On
device_13,container,2025-09-27T06:27:18.615Z,28.68,4.92,2.05,false,On
device_36,battery_bank,2025-09-27T06:27:18.597Z,30.81,5.93,1.81,false,On
device_17,container,2025-09-27T06:27:18.641Z,30.59,4.41,2.1,false,On
device_15,container,2025-09-27T06:27:18.647Z,31.76,4.25,1.82,false,On
device_5,pipe,2025-09-27T06:27:18.661Z,28.59,4.89,1.96,true,On
device_27,container,2025-09-27T06:27:18.705Z,29.37,5.95,2.17,false,On
device_16,container,2025-09-27T06:27:18.708Z,30.31,4.93,1.89,false,On
device_18,container,2025-09-27T06:27:18.718Z,30.03,5.35,1.9,false,On
device_35,battery_bank,2025-09-27T06:27:18.799Z,31.08,5.09,1.86,false,On
device_32,battery_bank,2025-09-27T06:27:18.803Z,31.44,5.21,1.87,false,On
device_11,container,2025-09-27T06:27:18.815Z,28.22,5.1,2.05,false,On
device_22,container,2025-09-27T06:27:18.827Z,31.94,4.94,1.8,false,On
device_33,battery_bank,2025-09-27T06:27:18.859Z,28.39,5.83,2.06,false,On
device_6,pipe,2025-09-27T06:27:18.875Z,28.04,5.67,2,true,On
device_4,pipe,2025-09-27T06:27:18.921Z,29.52,5.82,1.94,true,On
device_8,pipe,2025-09-27T06:27:18.923Z,31.76,4.28,2.15,true,On
device_39,battery_bank,2025-09-27T06:27:18.951Z,29.79,4.08,1.85,false,On
device_10,pipe,2025-09-27T06:27:19.032Z,31.03,5.55,2,true,On
device_46,battery_bank,2025-09-27T06:27:19.038Z,31.58,5.26,1.93,false,On
device_31,battery_bank,2025-09-27T06:27:19.050Z,30.39,5.54,2.08,false,On
device_41,battery_bank,2025-09-27T06:27:19.081Z,31.04,4.78,1.83,false,On
device_14,container,2025-09-27T06:27:19.095Z,29.67,5.33,1.92,false,On
device_43,battery_bank,2025-09-27T06:27:19.113Z,31.88,5.37,2.07,false,On
device_9,pipe,2025-09-27T06:27:19.152Z,30.35,5.49,1.95,true,On
device_15,container,2025-09-27T06:27:19.208Z,30.48,4.03,1.93,false,On
device_38,battery_bank,2025-09-27T06:27:19.233Z,29.87,5.33,2.16,false,On
device_28,container,2025-09-27T06:27:19.289Z,31.35,4.76,2.07,false,On
device_12,container,2025-09-27T06:27:19.337Z,29.61,5.37,1.93,false,On
device_26,container,2025-09-27T06:27:19.366Z,28.71,4.79,2.03,false,On
device_3,pipe,2025-09-27T06:27:19.400Z,28.92,5.92,2.18,true,On
device_40,battery_bank,2025-09-27T06:27:19.407Z,30.6,4.14,1.87,false,On
device_33,battery_bank,2025-09-27T06:27:19.457Z,28.07,5.65,2.14,false,On
device_27,container,2025-09-27T06:27:19.465Z,29.62,5.87,2.16,false,On
device_18,container,2025-09-27T06:27:19.478Z,30.47,4.1,2.06,false,On
device_23,container,2025-09-27T06:27:19.523Z,30.42,5.16,1.97,false,On
device_4,pipe,2025-09-27T06:27:19.525Z,28.1,5.99,2.07,true,On
device_29,container,2025-09-27T06:27:19.536Z,28.91,5.73,1.89,false,On
device_30,container,2025-09-27T06:27:19.616Z,29.84,4.16,1.87,false,On
device_2,pipe,2025-09-27T06:27:19.626Z,28.95,5.41,2.11,true,On
device_47,battery_bank,2025-09-27T06:27:19.634Z,29.52,4.61,2.09,false,On
device_44,battery_bank,2025-09-27T06:27:19.644Z,30.13,4.55,1.84,false,On
device_45,battery_bank,2025-09-27T06:27:19.653Z,31.14,4.37,1.95,false,On
device_31,battery_bank,2025-09-27T06:27:19.694Z,29.49,5.31,1.97,false,On
device_24,container,2025-09-27T06:27:19.704Z,30.99,4.38,1.82,false,On
device_1,pipe,2025-09-27T06:27:19.738Z,30.27,4.81,1.83,true,On
device_6,pipe,2025-09-27T06:27:19.741Z,29.73,4.1,2.14,true,On
device_35,battery_bank,2025-09-27T06:27:19.751Z,30.17,4.75,1.96,false,On
device_48,battery_bank,2025-09-27T06:27:19.785Z,30.26,5.89,1.92,false,On
device_20,container,2025-09-27T06:27:19.801Z,31.17,4.39,2.04,false,On
device_21,container,2025-09-27T06:27:19.847Z,30.01,5.51,1.8,false,On
device_37,battery_bank,2025-09-27T06:27:19.849Z,30.38,4.32,1.9,false,On
device_19,container,2025-09-27T06:27:19.859Z,31.14,5.78,2.04,false,On
device_41,battery_bank,2025-09-27T06:27:19.864Z,29.89,4.26,1.83,false,On
device_38,battery_bank,2025-09-27T06:27:19.874Z,28.96,5.49,1.93,false,On
device_50,battery_bank,2025-09-27T06:27:19.888Z,31.74,5.88,1.92,false,On
device_13,container,2025-09-27T06:27:19.953Z,28.87,4.4,2.1,false,On
device_34,battery_bank,2025-09-27T06:27:19.986Z,31.65,4.05,2.19,false,On
device_42,battery_bank,2025-09-27T06:27:19.990Z,29.66,5.95,2.11,false,On
device_28,container,2025-09-27T06:27:20.004Z,29.13,5.44,2.06,false,On
device_5,pipe,2025-09-27T06:27:20.008Z,30.55,5.3,1.94,true,On
device_40,battery_bank,2025-09-27T06:27:20.070Z,31.65,4.67,2.04,false,On
device_49,battery_bank,2025-09-27T06:27:20.196Z,28.41,5.74,2.18,false,On
device_16,container,2025-09-27T06:27:20.320Z,30.89,4.52,1.85,false,On
device_22,container,2025-09-27T06:27:20.370Z,30.97,5.74,2.02,false,On
device_43,battery_bank,2025-09-27T06:27:20.381Z,31.65,4.65,1.91,false,On
device_15,container,2025-09-27T06:27:20.434Z,30.45,5.02,1.83,false,On
device_23,container,2025-09-27T06:27:20.506Z,30.15,5.77,1.97,false,On
device_7,pipe,2025-09-27T06:27:20.490Z,31.25,4.13,1.89,true,On
device_30,container,2025-09-27T06:27:20.520Z,31.69,4.32,2.16,false,On
device_36,battery_bank,2025-09-27T06:27:20.537Z,30.21,5.32,2.07,false,On
device_33,battery_bank,2025-09-27T06:27:20.564Z,30.6,4.69,2.11,false,On
device_18,container,2025-09-27T06:27:20.570Z,29.32,5.69,1.86,false,On
device_25,container,2025-09-27T06:27:20.583Z,31.33,4.98,1.85,false,On
device_20,container,2025-09-27T06:27:20.595Z,28.2,5.58,1.96,false,On
device_48,battery_bank,2025-09-27T06:27:20.548Z,28.42,4.67,2.12,false,On
device_27,container,2025-09-27T06:27:20.556Z,31.4,5.87,1.99,false,On
device_24,container,2025-09-27T06:27:20.541Z,31.93,5.57,2.14,false,On
device_8,pipe,2025-09-27T06:27:20.655Z,29.17,4.8,1.95,true,On
device_29,container,2025-09-27T06:27:20.660Z,28.87,5.55,1.83,false,On
device_17,container,2025-09-27T06:27:20.645Z,30.21,5.43,1.86,false,On
device_44,battery_bank,2025-09-27T06:27:20.675Z,31.9,4.73,1.86,false,On
device_10,pipe,2025-09-27T06:27:20.668Z,28.76,4.14,1.82,true,On
device_11,container,2025-09-27T06:27:20.651Z,29.51,5.76,2.14,false,On
device_35,battery_bank,2025-09-27T06:27:20.751Z,30.08,5.08,2,false,On
device_39,battery_bank,2025-09-27T06:27:20.763Z,30.36,4.64,2.01,false,On
device_32,battery_bank,2025-09-27T06:27:20.806Z,31.82,5.27,1.87,false,On
device_5,pipe,2025-09-27T06:27:20.817Z,30.97,5.71,2.15,true,On
device_46,battery_bank,2025-09-27T06:27:20.823Z,31.2,4.42,2.02,false,On
device_14,container,2025-09-27T06:27:20.837Z,29.54,4.35,2.2,false,On
device_45,battery_bank,2025-09-27T06:27:20.853Z,29.88,5.77,2.08,false,On
device_21,container,2025-09-27T06:27:21.048Z,28.45,5.02,1.87,false,On
device_12,container,2025-09-27T06:27:21.055Z,29.2,4.83,2.16,false,On
device_50,battery_bank,2025-09-27T06:27:21.061Z,31.14,4.87,1.84,false,On
device_9,pipe,2025-09-27T06:27:21.067Z,30.83,5.27,1.91,true,On
device_47,battery_bank,2025-09-27T06:27:21.075Z,31.7,5.92,1.91,false,On
device_3,pipe,2025-09-27T06:27:21.084Z,28.66,5.13,1.99,true,On
device_30,container,2025-09-27T06:27:21.088Z,30.3,4.08,1.85,false,On
device_49,battery_bank,2025-09-27T06:27:21.193Z,31.25,5.05,1.97,false,On
device_23,container,2025-09-27T06:27:21.207Z,28.08,5.12,1.99,false,On
device_18,container,2025-09-27T06:27:21.217Z,31.23,5.6,2.06,false,On
device_2,pipe,2025-09-27T06:27:21.223Z,28.01,5.02,2.17,true,On
device_13,container,2025-09-27T06:27:21.230Z,29.58,4.29,2.03,false,On
device_38,battery_bank,2025-09-27T06:27:21.769Z,28.18,4.81,1.96,false,On
device_26,container,2025-09-27T06:27:21.801Z,29.67,4.41,1.91,false,On
device_8,pipe,2025-09-27T06:27:21.831Z,28.72,4.26,2.1,true,On
device_11,container,2025-09-27T06:27:21.879Z,30.6,4.37,1.82,false,On
device_4,pipe,2025-09-27T06:27:21.916Z,29.95,5.89,1.85,true,On
device_6,pipe,2025-09-27T06:27:21.934Z,28.54,5.36,2.12,true,On
device_20,container,2025-09-27T06:27:21.951Z,31.08,4.46,2.13,false,On
device_16,container,2025-09-27T06:27:21.958Z,30.03,4.38,2.08,false,On
device_17,container,2025-09-27T06:27:21.970Z,30.84,5.31,1.98,false,On
device_39,battery_bank,2025-09-27T06:27:21.985Z,28.27,4.33,1.82,false,On
device_33,battery_bank,2025-09-27T06:27:22.015Z,29.89,4.52,1.89,false,On
device_29,container,2025-09-27T06:27:22.048Z,31.23,4.74,2.16,false,On
device_36,battery_bank,2025-09-27T06:27:22.088Z,29,5.2,2.14,false,On
device_19,container,2025-09-27T06:27:22.104Z,28.67,4.83,1.91,false,On
device_37,battery_bank,2025-09-27T06:27:22.121Z,31.41,5.66,1.85,false,On
device_28,container,2025-09-27T06:27:22.142Z,28.64,4.73,2.05,false,On
device_31,battery_bank,2025-09-27T06:27:22.166Z,28.57,4.62,1.95,false,On
device_10,pipe,2025-09-27T06:27:22.189Z,29.04,4.29,1.99,true,On
device_1,pipe,2025-09-27T06:27:22.197Z,31.17,4.47,2,true,On
device_15,container,2025-09-27T06:27:22.217Z,28.25,4.57,1.95,false,On
device_25,container,2025-09-27T06:27:22.235Z,30.22,5.77,1.88,false,On
device_34,battery_bank,2025-09-27T06:27:22.241Z,28.62,5.25,1.96,false,On
device_41,battery_bank,2025-09-27T06:27:22.541Z,28.99,5.13,2.11,false,On
device_21,container,2025-09-27T06:27:22.550Z,30.14,5.45,2.11,false,On
device_44,battery_bank,2025-09-27T06:27:22.554Z,29.69,5.92,2,false,On
device_22,container,2025-09-27T06:27:22.572Z,29.41,5.18,2,false,On
device_35,battery_bank,2025-09-27T06:27:22.559Z,30.81,5.29,2.05,false,On
device_42,battery_bank,2025-09-27T06:27:22.588Z,29.4,4.89,2.02,false,On
device_2,pipe,2025-09-27T06:27:22.576Z,28.92,5.91,2.05,true,On
device_32,battery_bank,2025-09-27T06:27:22.591Z,29.17,5.7,1.92,false,On
device_46,battery_bank,2025-09-27T06:27:22.603Z,30.99,4.45,2.14,false,On
device_48,battery_bank,2025-09-27T06:27:22.620Z,28.87,4.37,2.05,false,On
device_9,pipe,2025-09-27T06:27:22.629Z,31.41,4.23,1.94,true,On
device_3,pipe,2025-09-27T06:27:22.637Z,29.03,5.07,2.02,true,On
device_40,battery_bank,2025-09-27T06:27:22.643Z,28.54,5.45,2.15,false,On
device_12,container,2025-09-27T06:27:22.651Z,31.35,4.04,1.91,false,On
device_13,container,2025-09-27T06:27:22.658Z,29.59,4.05,2.07,false,On
device_43,battery_bank,2025-09-27T06:27:22.668Z,28.1,5.83,2.05,false,On
device_7,pipe,2025-09-27T06:27:22.673Z,29.36,4.85,1.84,true,On
device_47,battery_bank,2025-09-27T06:27:22.612Z,28.52,5.95,1.93,false,On
device_23,container,2025-09-27T06:27:22.567Z,28.26,5.96,2.16,false,On
device_27,container,2025-09-27T06:27:22.683Z,31.96,5.41,2.03,false,On
device_14,container,2025-09-27T06:27:22.689Z,29.96,4.01,2.19,false,On
device_24,container,2025-09-27T06:27:22.696Z,28.52,5.1,1.97,false,On
device_5,pipe,2025-09-27T06:27:22.708Z,28.14,4.94,1.81,true,On
device_16,container,2025-09-27T06:27:22.703Z,31.34,5.08,1.99,false,On
device_30,container,2025-09-27T06:27:22.985Z,31.67,5.26,2.19,false,On
device_20,container,2025-09-27T06:27:22.988Z,31.87,5.63,2.13,false,On
device_45,battery_bank,2025-09-27T06:27:23.002Z,28.3,4.01,2.17,false,On
device_39,battery_bank,2025-09-27T06:27:23.012Z,30.37,4.3,2.02,false,On
device_8,pipe,2025-09-27T06:27:23.006Z,29.35,4.68,2.17,true,On
device_10,pipe,2025-09-27T06:27:23.022Z,31.81,5.68,2,true,On
device_50,battery_bank,2025-09-27T06:27:23.017Z,29.57,4.96,2,false,On
device_17,container,2025-09-27T06:27:23.026Z,28.26,4.6,2.18,false,On
device_38,battery_bank,2025-09-27T06:27:22.997Z,28.07,4.6,1.9,false,On
device_6,pipe,2025-09-27T06:27:22.993Z,31.88,4.17,2.06,true,On
device_36,battery_bank,2025-09-27T06:27:23.108Z,29.98,5.21,2.04,false,On
device_1,pipe,2025-09-27T06:27:23.248Z,29.82,4.82,1.87,true,On
device_49,battery_bank,2025-09-27T06:27:23.253Z,29.49,4.12,1.97,false,On
device_4,pipe,2025-09-27T06:27:23.258Z,31.81,5.53,2.07,true,On
device_18,container,2025-09-27T06:27:23.262Z,28.48,5.57,1.93,false,On
device_34,battery_bank,2025-09-27T06:27:23.329Z,30.99,4.87,1.94,false,On
device_24,container,2025-09-27T06:27:23.336Z,30.28,4.13,2.19,false,On
device_35,battery_bank,2025-09-27T06:27:23.341Z,30.07,4.73,1.91,false,On
device_43,battery_bank,2025-09-27T06:27:23.347Z,28.47,4.63,2.17,false,On
device_42,battery_bank,2025-09-27T06:27:23.389Z,28.92,4.79,1.86,false,On
device_2,pipe,2025-09-27T06:27:23.420Z,31.86,4.87,2.04,true,On
device_11,container,2025-09-27T06:27:23.457Z,29.77,5.64,1.88,false,On
device_12,container,2025-09-27T06:27:23.521Z,29.1,5.55,2.12,false,On
device_15,container,2025-09-27T06:27:23.531Z,28.52,5.72,2.15,false,On
device_37,battery_bank,2025-09-27T06:27:23.534Z,28.9,5.71,2,false,On
device_19,container,2025-09-27T06:27:23.539Z,28.07,5.91,1.83,false,On
device_13,container,2025-09-27T06:27:23.572Z,31.79,4.77,2.08,false,On
device_7,pipe,2025-09-27T06:27:23.591Z,30.28,5.78,2.06,true,On
device_30,container,2025-09-27T06:27:23.614Z,28.49,4.87,1.91,false,On
device_29,container,2025-09-27T06:27:23.648Z,31.29,5.47,2.08,false,On
device_16,container,2025-09-27T06:27:23.741Z,29.06,5.56,2.11,false,On
device_26,container,2025-09-27T06:27:23.787Z,31.19,5.24,1.97,false,On
device_3,pipe,2025-09-27T06:27:23.799Z,29.43,4.33,2.13,true,On
device_46,battery_bank,2025-09-27T06:27:23.802Z,31.07,5.61,2.09,false,On
device_34,battery_bank,2025-09-27T06:27:23.865Z,30.39,4.67,2.09,false,On
device_31,battery_bank,2025-09-27T06:27:23.868Z,29.75,4.13,1.85,false,On
device_4,pipe,2025-09-27T06:27:23.872Z,30.71,4.29,1.81,true,On
device_28,container,2025-09-27T06:27:23.875Z,30.53,4.69,2.06,false,On
device_41,battery_bank,2025-09-27T06:27:23.906Z,31.35,4.38,2.19,false,On
device_33,battery_bank,2025-09-27T06:27:23.957Z,32,5.21,1.82,false,On
device_9,pipe,2025-09-27T06:27:23.967Z,28.75,4.25,1.98,true,On
device_22,container,2025-09-27T06:27:23.989Z,30.49,4.9,1.89,false,On
device_39,battery_bank,2025-09-27T06:27:24.018Z,31.87,5.73,2.11,false,On
device_18,container,2025-09-27T06:27:24.068Z,31.28,5.49,2.03,false,On
device_8,pipe,2025-09-27T06:27:24.071Z,30.99,4.39,1.95,true,On
device_45,battery_bank,2025-09-27T06:27:24.089Z,28.49,4.27,1.94,false,On
device_1,pipe,2025-09-27T06:27:24.100Z,31.42,4.94,2.08,true,On
device_14,container,2025-09-27T06:27:24.154Z,31.91,4.46,1.89,false,On
device_25,container,2025-09-27T06:27:24.187Z,30.65,5.05,2.08,false,On
device_17,container,2025-09-27T06:27:24.191Z,30,4.96,2.19,false,On
device_43,battery_bank,2025-09-27T06:27:24.202Z,31.22,4.15,2.01,false,On
device_2,pipe,2025-09-27T06:27:24.249Z,31.51,5.57,2.01,true,On
device_23,container,2025-09-27T06:27:24.266Z,31.05,4.14,2.03,false,On
device_7,pipe,2025-09-27T06:27:24.295Z,30.33,4.45,1.86,true,On
device_48,battery_bank,2025-09-27T06:27:24.308Z,31.11,5.8,1.97,false,On
device_26,container,2025-09-27T06:27:24.318Z,31.63,4.17,2.14,false,On
device_32,battery_bank,2025-09-27T06:27:24.371Z,31.65,4.84,1.98,false,On
device_30,container,2025-09-27T06:27:24.385Z,29.95,4.47,1.82,false,On
device_50,battery_bank,2025-09-27T06:27:24.409Z,30.38,5.67,1.98,false,On
device_31,battery_bank,2025-09-27T06:27:24.428Z,28.13,5.17,2.17,false,On
device_35,battery_bank,2025-09-27T06:27:24.490Z,28.69,4.01,1.96,false,On
device_5,pipe,2025-09-27T06:27:24.502Z,28.2,5.84,2.01,true,On
device_44,battery_bank,2025-09-27T06:27:24.517Z,29.19,5.09,1.83,false,On
device_29,container,2025-09-27T06:27:24.483Z,28.56,4.29,1.81,false,On
device_47,battery_bank,2025-09-27T06:27:24.527Z,30.78,4.6,1.96,false,On
device_21,container,2025-09-27T06:27:24.508Z,31.7,4.67,2.09,false,On
device_40,battery_bank,2025-09-27T06:27:24.563Z,31.31,5.62,1.98,false,On
device_38,battery_bank,2025-09-27T06:27:24.623Z,31.52,4.66,1.96,false,On
device_6,pipe,2025-09-27T06:27:24.635Z,30.26,4.26,1.81,true,On
device_27,container,2025-09-27T06:27:24.754Z,31.87,5.21,1.86,false,On
device_10,pipe,2025-09-27T06:27:24.737Z,29.65,4.25,2.06,true,On
device_15,container,2025-09-27T06:27:24.775Z,28.12,5.65,2.16,false,On
device_25,container,2025-09-27T06:27:24.790Z,28.37,5.64,1.93,false,On
device_18,container,2025-09-27T06:27:24.868Z,29.63,5.13,1.81,false,On
device_43,battery_bank,2025-09-27T06:27:24.873Z,30.11,5.14,2.1,false,On
device_24,container,2025-09-27T06:27:24.885Z,30.45,4.91,1.89,false,On
device_36,battery_bank,2025-09-27T06:27:24.973Z,31.91,5.42,2.06,false,On
device_20,container,2025-09-27T06:27:24.984Z,30.47,4.52,2.06,false,On
device_33,battery_bank,2025-09-27T06:27:25.027Z,30.89,5.17,1.85,false,On
device_23,container,2025-09-27T06:27:25.038Z,28.21,5.44,1.83,false,On
device_5,pipe,2025-09-27T06:27:25.053Z,28.72,5.49,2.08,true,On
device_49,battery_bank,2025-09-27T06:27:25.069Z,30.23,5.03,1.82,false,On
device_39,battery_bank,2025-09-27T06:27:25.085Z,31.44,5.59,1.98,false,On
device_19,container,2025-09-27T06:27:25.124Z,28.57,5.46,2.05,false,On
device_48,battery_bank,2025-09-27T06:27:25.135Z,31.97,4.59,1.87,false,On
device_11,container,2025-09-27T06:27:25.170Z,30.24,4.87,1.82,false,On
device_42,battery_bank,2025-09-27T06:27:25.203Z,30.94,4.98,2,false,On
device_8,pipe,2025-09-27T06:27:25.225Z,30.5,5.02,1.86,true,On
device_46,battery_bank,2025-09-27T06:27:25.232Z,31.02,5.55,2.17,false,On
device_47,battery_bank,2025-09-27T06:27:25.251Z,30.66,5.73,2.17,false,On
device_12,container,2025-09-27T06:27:25.297Z,29.28,4.75,1.81,false,On
device_27,container,2025-09-27T06:27:25.302Z,28.56,4,2.07,false,On
device_1,pipe,2025-09-27T06:27:25.348Z,29.53,4.13,1.87,true,On
device_41,battery_bank,2025-09-27T06:27:25.351Z,31.67,5.04,1.97,false,On
device_34,battery_bank,2025-09-27T06:27:25.362Z,29.89,5.24,2.09,false,On
device_44,battery_bank,2025-09-27T06:27:25.383Z,29.25,5.94,1.95,false,On
device_21,container,2025-09-27T06:27:25.386Z,29.85,4.73,2.04,false,On
device_10,pipe,2025-09-27T06:27:25.403Z,30.84,5.86,2.11,true,On
device_13,container,2025-09-27T06:27:25.441Z,28.46,4.56,2.13,false,On
device_22,container,2025-09-27T06:27:25.446Z,31.22,5.43,1.97,false,On
device_40,battery_bank,2025-09-27T06:27:25.488Z,31.2,4.07,2.02,false,On
device_37,battery_bank,2025-09-27T06:27:25.501Z,28.99,5.91,2.13,false,On
device_9,pipe,2025-09-27T06:27:25.506Z,28.39,4.98,1.95,true,On
device_31,battery_bank,2025-09-27T06:27:25.549Z,28.11,4.6,2.14,false,On
device_16,container,2025-09-27T06:27:25.564Z,28.78,4.33,2.01,false,On
device_38,battery_bank,2025-09-27T06:27:25.575Z,30.34,4.17,1.9,false,On
device_24,container,2025-09-27T06:27:25.641Z,31.71,5.88,2.13,false,On
device_5,pipe,2025-09-27T06:27:25.646Z,28.56,4.78,2.09,true,On
device_26,container,2025-09-27T06:27:25.672Z,31.53,4.09,2.13,false,On
device_25,container,2025-09-27T06:27:25.675Z,28.43,5.24,1.86,false,On
device_39,battery_bank,2025-09-27T06:27:25.684Z,29.36,4.63,2.2,false,On
device_29,container,2025-09-27T06:27:25.689Z,31.14,4.43,2.01,false,On
device_3,pipe,2025-09-27T06:27:25.706Z,31.06,5.06,1.88,true,On
device_2,pipe,2025-09-27T06:27:25.720Z,31.34,4.23,1.93,true,On
device_43,battery_bank,2025-09-27T06:27:25.738Z,29.8,5.28,2.17,false,On
device_20,container,2025-09-27T06:27:25.750Z,28.32,4.91,2.2,false,On
device_4,pipe,2025-09-27T06:27:25.766Z,29.09,4.57,1.97,true,On
device_36,battery_bank,2025-09-27T06:27:25.817Z,31.64,5.25,2.1,false,On
device_49,battery_bank,2025-09-27T06:27:25.826Z,28.54,5.98,1.93,false,On
device_45,battery_bank,2025-09-27T06:27:25.821Z,31.09,4.33,1.82,false,On
device_30,container,2025-09-27T06:27:25.848Z,28.67,4.34,2.14,false,On
device_28,container,2025-09-27T06:27:25.859Z,31.08,5.65,1.88,false,On
device_23,container,2025-09-27T06:27:25.898Z,28.23,5.47,2.12,false,On
device_1,pipe,2025-09-27T06:27:25.918Z,28.84,4.2,2.02,true,On
device_7,pipe,2025-09-27T06:27:26.041Z,28.21,4.18,1.97,true,On
device_14,container,2025-09-27T06:27:26.047Z,28.26,5.75,2.14,false,On
device_8,pipe,2025-09-27T06:27:26.058Z,28.33,5.03,1.88,true,On
device_17,container,2025-09-27T06:27:26.075Z,31.51,4.81,2.06,false,On
device_32,battery_bank,2025-09-27T06:27:26.147Z,31.93,4.39,1.9,false,On
device_50,battery_bank,2025-09-27T06:27:26.196Z,29.06,4.88,2.06,false,On
device_33,battery_bank,2025-09-27T06:27:26.205Z,31.97,4.03,1.92,false,On
device_29,container,2025-09-27T06:27:26.286Z,28.39,5.67,2.14,false,On
device_35,battery_bank,2025-09-27T06:27:26.333Z,31.74,5.87,2.02,false,On
device_11,container,2025-09-27T06:27:26.340Z,31.84,4.7,2.09,false,On
device_37,battery_bank,2025-09-27T06:27:26.383Z,28.99,4.43,1.94,false,On
device_42,battery_bank,2025-09-27T06:27:26.403Z,30.71,4.83,2.14,false,On
device_16,container,2025-09-27T06:27:26.407Z,28.64,5.01,1.86,false,On
device_15,container,2025-09-27T06:27:26.460Z,31.46,4.53,1.98,false,On
device_47,battery_bank,2025-09-27T06:27:26.474Z,30.17,5.17,1.89,false,On
device_30,container,2025-09-27T06:27:26.537Z,31.74,4.2,1.92,false,On
device_13,container,2025-09-27T06:27:26.581Z,31.16,5.23,2.04,false,On
device_2,pipe,2025-09-27T06:27:26.570Z,28.15,5.16,1.9,true,On
device_6,pipe,2025-09-27T06:27:26.585Z,30.32,5.84,1.89,true,On
device_31,battery_bank,2025-09-27T06:27:26.603Z,28.81,5.3,2.11,false,On
